Runs,Mins,BF,fours,six,Pos,Dismissal,Ground,Result,Inns,SR
11,92,120,5,0,6,lbw,Chandigarh,Won,1,43.5
50,158,118,6,0,4,caught,Kolkata,Won,1,42.37
9,17,19,2,0,4,not out,Kolkata,Won,4,47.36
165,361,296,24,1,4,caught,Chennai,Won,1,55.74
78,285,213,10,0,4,lbw,Mumbai,Won,2,36.61
62,128,114,7,0,4,caught,Delhi,Won,1,54.38
28,74,52,5,0,4,caught,Colombo (SSC),Won,1,53.84
104,217,161,11,1,4,not out,Colombo (SSC),Won,3,64.59
142,260,224,22,0,4,caught,Lucknow,Won,1,63.39
96,180,140,15,0,4,bowled,Bengaluru,Won,1,68.57
6,25,14,1,0,4,bowled,Ahmedabad,Won,2,42.85
34,70,43,7,0,4,lbw,Mumbai,Won,1,79.06
85,178,130,10,1,5,caught,Mumbai,Won,3,65.38
4,7,4,1,0,4,caught,Bengaluru,Won,2,100
0,3,0,0,0,4,not out,Bengaluru,Won,4,
10,12,11,2,0,4,caught,Delhi,Won,2,90.9
0,6,7,0,0,4,bowled,Delhi,Won,4,0
42,80,64,7,0,4,caught,Ahmedabad,Won,1,65.62
7,43,33,1,0,4,caught,Ahmedabad,Won,3,21.21
61,211,173,4,1,4,caught,Kanpur,Won,1,35.26
36,129,98,4,0,5,caught,Kanpur,Won,3,36.73
4,7,5,1,0,4,caught,Chennai,Won,1,80
155,286,191,14,4,4,not out,Chennai,Won,3,81.15
79,109,86,12,2,4,caught,Kolkata,Won,2,91.86
6,13,11,1,0,4,lbw,Delhi,Won,1,54.54
29,99,65,4,0,4,caught,Delhi,Won,3,44.61
15,76,54,3,0,4,caught,Kanpur,Won,2,27.77
44,58,39,8,0,4,not out,Kanpur,Won,4,112.82
18,63,41,1,0,5,caught,Dhaka,Won,2,43.9
,,0,0,0,4,,Dhaka,Won,4,
122,283,233,19,0,4,caught,Delhi,Won,2,52.36
39,45,39,8,0,4,caught,Delhi,Won,4,100
10,25,18,2,0,4,lbw,Kolkata,Won,2,55.55
10,26,23,2,0,4,caught,Kolkata,Won,3,43.47
126,346,230,15,2,4,caught,Chennai,Won,2,54.78
17,27,17,3,0,4,caught,Chennai,Won,4,100
74,179,128,12,0,4,caught,Bulawayo,Won,2,57.81
36,41,49,4,0,4,not out,Bulawayo,Won,4,73.46
88,229,144,13,0,5,caught,Mohali,Won,2,61.11
,,0,0,0,6,,Mohali,Won,4,
176,440,316,23,0,4,caught,Nagpur,Won,2,55.69
36,124,119,5,0,4,lbw,Delhi,Won,2,30.25
42,78,52,7,1,5,lbw,Delhi,Won,4,80.76
117,356,260,14,0,4,lbw,Port of Spain,Won,1,45
0,16,4,0,0,4,lbw,Port of Spain,Won,3,0
193,434,330,19,3,4,lbw,Leeds,Won,1,58.48
35,96,88,5,0,4,caught,Mumbai,Won,1,39.77
43,156,113,5,0,4,bowled,Chennai,Won,2,38.05
16,15,20,0,0,4,not out,Chennai,Won,4,80
1,15,6,0,0,4,caught,Adelaide,Won,2,16.66
37,79,59,5,0,4,lbw,Adelaide,Won,4,62.71
194,493,348,21,0,4,not out,Multan,Won,1,55.74
1,6,3,0,0,4,caught,Rawalpindi,Won,2,33.33
5,43,35,0,0,4,caught,Mumbai,Won,1,14.28
55,120,83,6,1,4,caught,Mumbai,Won,3,66.26
20,82,54,3,0,4,bowled,Kolkata,Won,2,37.03
32,73,64,3,1,4,not out,Kolkata,Won,4,50
248,552,379,35,0,4,not out,Dhaka,Won,2,65.43
36,79,55,6,0,4,lbw,Chittagong,Won,1,65.45
52,147,102,9,0,4,caught,Kolkata,Won,1,50.98
52,117,91,9,0,4,caught,Kolkata,Won,3,57.14
109,310,196,14,1,4,lbw,Delhi,Won,1,55.61
16,42,28,3,0,4,lbw,Delhi,Won,3,57.14
23,85,66,2,0,4,caught,Ahmedabad,Won,1,34.84
